net,length_um
_08446_,1149.14
_10488_,1148.925
_08439_,1144.925
net109,1144.35
_08716_,1144.08
_03629_,1144.02
_09402_,1143.205
_09848_,1142.18
_08539_,1136.54
net99,1135.46
_09537_,1134.98
_09190_,1130.93
net16,1130.68
_08645_,1129.79
_09557_,1129.05
_03261_,1128.24
_08733_,1126.27
_09409_,1126.17
_08515_,1125.86
net148,1123.79
_09023_,1122.97
_03352_,1121.49
_09733_,1119.15
_08603_,1118.82
_09887_,1118
_10357_,1117.56
_09715_,1117.315
_06900_,1114.33
_03396_,1110.49
_03269_,1109.66
_08433_,1109.62
net125,1107.65
_09598_,1107.38
_09487_,1106.23
_09085_,1104.57
_09974_,1103.375
_09578_,1102.71
_08478_,1102.605
_08403_,1101.41
_09020_,1100.42
_09976_,1097.125
_09782_,1095.77
_09529_,1092.39
_03634_,1091.8
_08414_,1087.605
_08618_,1083.66
_11982_,1083.15
_09547_,1083.085
_10371_,1082.39
_09901_,1075.59
_08509_,1073.68
_03765_,1072.52
_09886_,1072.35
_08616_,1072.05
_03676_,1070.74
net129,1070.48
_07553_,1069.84
_06920_,1069.81
_03519_,1068.93
_03513_,1067.695
_10962_,1066.96
_10496_,1065.7
_03493_,1062.915
_09480_,1060.43
_09617_,1060.365
_08512_,1058.61
_09423_,1057.96
_07535_,1057.85
_08527_,1055.15
_03491_,1052.88
_08500_,1050.82
_03496_,1050.61
net135,1049.69
_09681_,1048.78
_09701_,1048.77
_09580_,1047.01
_09523_,1046.24
_03530_,1045.9
_08745_,1043.425
_09533_,1043.24
_09076_,1041.17
net54,1040.62
net2,1039.34
_09873_,1039.31
_09427_,1036.95
_09847_,1034.93
_12224_,1033.12
_08518_,1032.35
_09574_,1031.285
_03322_,1029.68
_06039_,1029.35
_03586_,1029.225
_07121_,1027.435
_09559_,1026.93
_09663_,1026.9
_09415_,1023.76
_09439_,1020.71
_09543_,1019.72
_09558_,1019.23
net132,1018.22
_08755_,1017.24
_09855_,1017.04
_12629_,1016.96
_03366_,1016.685
_08736_,1016.23
RAM1.mem\[29\]\[4\],1015.74
_08540_,1012.79
_10259_,1012.285
_12626_,1012.02
_10436_,1011.68
_06905_,1011.21
_10529_,1009.7
_09552_,1009.37
_03639_,1009.33
_09214_,1009.32
_12632_,1007.17
_08739_,1007.07
net98,1006.44
_09416_,1006.335
_03301_,1006.02
_03686_,1000.89
_08432_,999.8
_09534_,999.27
_06911_,999.13
net126,998.71
_03276_,994.43
_08397_,993.56
_03546_,992.05
_03263_,991.25
_09479_,990.98
_09527_,990.95
net47,990.7
_08855_,989.5
_09645_,989.08
_09518_,988.25
_08445_,986.82
net111,986.41
net138,984.14
_10362_,982.82
_08301_,981.99
_03359_,981.96
net137,981.71
_08748_,980.74
_03548_,980
_09756_,978.62
_09616_,977.99
_08466_,976.55
_08586_,976.185
_08457_,974.53
_08706_,972.96
_10485_,972.95
_09489_,972.3
_08443_,972.03
_12618_,970.57
_08473_,967.07
_08639_,964.88
_12044_,963.57
_10365_,963.455
_08329_,962.45
_09634_,961.18
_08570_,961.17
_03205_,959.84
_08648_,958.37
_09549_,957.11
_08654_,954.91
net147,954.22
net8,954.12
clknet_0_clk,953.67
_07547_,952.43
_03320_,950.145
_09605_,949.8
_08415_,947.31
_12644_,945.94
_08534_,945.09
_08459_,944.31
_09691_,944.185
_03318_,942.34
_08730_,939.2
_08720_,938.34
_09407_,937.99
_06048_,936.64
_08495_,936.41
_06042_,933.39
_10262_,933.34
_06025_,933.15
_10087_,932.87
_07133_,932.04
net146,928.93
_06033_,928.91
_07550_,928.78
_12635_,927.8
_03511_,927.27
_09192_,926.745
_08467_,926.48
_12301_,926.34
_03296_,926.06
_10342_,926.03
_03625_,921.72
_08452_,919.43
_09804_,917.87
_09556_,915.47
_03267_,914.28
_09608_,913.2
_08450_,913.18
_08777_,911.11
_08384_,910.3
_08622_,908.19
net139,908.14
_08429_,907.73
net130,906.185
_03327_,904.83
_09545_,902.045
_03284_,901.99
_08327_,901.03
_08328_,900.69
_03308_,899.82
_02541_,898.07
_08651_,895.67
_09394_,894.86
net22,894.76
net11,894.575
_06030_,894.11
_07129_,893.73
_09671_,892.86
_08431_,891.57
_08742_,890.06
_03537_,889.11
_07117_,887.45
_03697_,883.87
_03505_,880.39
_03506_,879.265
_09943_,879.1
_08541_,878.5
_07125_,878.265
_06045_,877.69
_06036_,876.29
_08915_,874.65
_08721_,873.92
_08438_,872.76
_09780_,872.71
_08636_,872.68
_03437_,870.73
_03287_,868.8
_05250_,868.16
_03645_,868
clknet_2_3_0_clk,866.37
_09084_,865.97
_09538_,865.76
_09749_,865.51
_03641_,861.83
net85,861.22
_12638_,861.16
_08299_,856.14
_09106_,854.1
_03405_,851.79
_07137_,851.5
_08724_,849.44
net128,848.26
_03630_,842.16
_09548_,840.88
_09008_,840.62
_08609_,839.41
_09790_,839.05
_08302_,838.59
_08298_,838.34
net6,837.72
_09384_,834.18
_08471_,830.85
_03273_,829.53
net97,828.2
net20,828.12
net143,828.08
_08657_,827.59
_05509_,825.94
_03582_,824.745
_09498_,822.74
_07138_,822.2
_03354_,821.35
clknet_2_2_0_clk,821.26
_07126_,820.9
net26,818.395
_09005_,817.74
_08290_,816.97
_09615_,815.275
_05187_,814.6
_05512_,812.71
_02284_,811.8
_05261_,811.63
_05280_,811.07
_08464_,810.905
net45,809.19
_08829_,808.24
_02752_,807.33
clknet_2_1_0_clk,806.88
_09678_,804.88
_03355_,800.82
_09002_,798.68
_08584_,797.66
_08436_,795.02
_12234_,794.8
_08275_,794.6
net124,793.51
_09565_,786.62
_05521_,783.92
_07113_,783.67
clknet_2_0_0_clk,782.34
net93,781.6
net18,780.4
net107,775.58
_03589_,774.81
_07118_,772.87
_09768_,771.565
_05502_,768.955
_08522_,768.73
net108,767.75
_09391_,766.89
_09017_,766.215
_08386_,765.4
_07114_,765.37
_08662_,763.455
_03540_,760.15
_09406_,759.9
_07257_,759.33
_09191_,759.02
_09497_,758.89
_09125_,758.66
_08295_,756.17
net112,754
_10331_,753.92
_08406_,749.67
_08396_,749.635
_03290_,748.83
_08604_,748.35
_09011_,747.87
_10266_,747.78
_08589_,747.34
net114,746.3
_03455_,745.81
_07122_,745.68
_05886_,744.94
_02853_,743.42
_12254_,743.28
_03507_,741.52
_08319_,740.42
_08594_,739.72
_09079_,737.58
_08493_,734.34
_03710_,734.235
_03703_,733.67
_05817_,732.51
net86,731.56
_05506_,731.235
_09260_,730.52
_12303_,730.5
_03450_,729.325
_08599_,728.16
_09454_,725.5
_08614_,724.29
_12620_,722.09
_08580_,721.5
_07263_,719.64
net13,719.01
_05889_,718.59
_05515_,716.16
net5,714.59
_03348_,714.27
net17,712.77
_05877_,711.83
net116,711.33
_12229_,710.37
_05811_,710.02
_03473_,709.73
net136,709.48
_03305_,708.53
_09044_,707.08
_05524_,706.93
_03346_,706.33
_07130_,705.38
_08822_,704.15
_03736_,703.98
_03313_,701.67
_07275_,699.43
_08486_,699.43
_08561_,699.33
_03471_,698.15
_07134_,697.65
_12244_,696.73
_09588_,696.36
_06715_,694.14
net61,692.09
_02529_,691.72
_05339_,691.61
_03264_,691.28
_09577_,690.54
_05895_,690.33
_08289_,689.98
net115,689.06
_08932_,688.57
_08381_,688.39
_08398_,688.3
_03289_,687.92
_12218_,685.2
_12239_,685.03
_10827_,684.17
net29,684.15
_06556_,683.74
_03381_,683.69
_12163_,683.3
_03416_,681.89
net71,681.17
_08818_,680.885
_09571_,680.36
net51,679.02
_09170_,678.91
_12326_,678.53
_03443_,676.925
_03492_,676.41
_09851_,676.02
_03608_,675.91
_07266_,675.83
_09720_,675.71
_03701_,674.18
_02658_,673.35
_08912_,671.035
_06837_,670.84
RAM1.mem\[28\]\[4\],670.36
net105,670.2
_03369_,670.13
_05799_,670.01
_07269_,669.79
net32,669.44
_05802_,668.17
_11327_,667.44
_11736_,667.1
_03531_,666.47
_08999_,666.22
_08851_,664.3
_05808_,664.2
_06712_,664.09
_12344_,661.52
_12650_,659.72
_09412_,658.23
_03371_,655.9
_03655_,654.22
_12249_,653.38
_09309_,652.935
_06718_,651.9
_06724_,651.54
_07252_,650.8
net40,650.66
_07260_,650.3
net131,650.12
_04975_,648.03
_09725_,647.215
_05518_,646.69
_05814_,645.4
_09295_,644.64
_05796_,644.28
_03370_,643.565
net149,641.83
_05342_,641.81
_08543_,641.68
_03528_,640.11
_07141_,639.38
_08914_,639.02
_06705_,638.94
net25,638.3
_08404_,638.08
_07272_,636.25
_05330_,632.58
net94,631.5
_03407_,631.41
_05883_,630.66
_08484_,630.325
_02737_,629.9
_06721_,628.93
_08276_,628.18
clk,627.46
RAM1.mem\[5\]\[1\],626.24
_08410_,624.27
_03626_,622.56
_05872_,621.19
_12649_,620.96
_08273_,620.36
_06709_,619.98
_08867_,619.17
_03592_,618.98
_09300_,615.94
net84,613.1
_09166_,612.54
RAM1.mem\[6\]\[1\],612.12
_03607_,611.82
_03558_,608.105
_09499_,606.85
_09318_,606.12
net1,604.86
_08374_,602.28
_03419_,600.855
clknet_5_17__leaf_clk,600.795
_03259_,600.77
_03431_,599.38
_03681_,598.76
_04245_,598.72
_08360_,595.14
net38,594.02
_03387_,593.22
net145,592.24
net44,592.09
_05327_,591.37
_03555_,591.34
_02523_,590.6
RAM1.mem\[5\]\[2\],588.615
_09994_,587.6
_08395_,586.75
_09550_,586.36
_08723_,585.85
_03556_,585.4
RAM1.mem\[3\]\[7\],585.1
net142,585.1
_03300_,584.85
_02755_,584.75
_03432_,584.56
_09566_,584.09
net60,583.02
_09779_,581.46
_08820_,581.19
_03340_,580.3
_03448_,579.1
_06727_,578.08
_06825_,577.96
_12782_,576.96
_03468_,576.38
_12341_,576.25
RAM1.mem\[5\]\[0\],574.54
_05892_,574.23
_02761_,572.82
net50,572.58
_05880_,571.94
_02833_,571.81
_06843_,571.04
_11986_,569.45
_03367_,569.09
_08413_,568.79
_05336_,568.46
_08380_,568.32
_09312_,568.31
_05345_,567.78
_03293_,566.66
_09702_,566.51
_12321_,565.24
_05805_,563.26
net113,563.08
_06553_,562.98
net119,561.72
_05463_,560.29
_02841_,560.02
_12335_,559.58
_06840_,559.43
_08353_,559.26
_09568_,559.04
_08627_,558.77
_03714_,556.31
_09315_,556
_03380_,555.6
_06834_,555.49
_02820_,555.48
_06574_,552.5
_03624_,552.18
_11428_,550.54
net90,550.02
_08339_,549.62
_03543_,549.61
_08526_,549.02
_08531_,548.56
_06565_,547.86
_08482_,547.05
_12329_,546.41
_03375_,545.74
net52,545.12
_03578_,545.02
_03472_,543.54
_02758_,543.44
_12779_,543.24
_08537_,543.14
clknet_5_27__leaf_clk,542.07
_03525_,541.825
_08521_,541.04
_02749_,540.42
_09306_,539.27
_08819_,539.265
_08346_,539.22
_08727_,538.89
_08411_,538.57
RAM1.mem\[5\]\[5\],538.54
_04806_,538.34
_02746_,537.76
_08352_,537.71
net73,537.11
_03440_,536.98
_05161_,536.78
_12767_,536.05
_08338_,534.78
_02526_,534.35
_03428_,534.1
_03347_,533.66
_08313_,533.6
_06568_,531.72
_08866_,531.58
_08367_,531.02
_11989_,531.02
_03333_,531
_08359_,529.34
_06820_,529.22
_08821_,528.86
_06828_,528.52
clknet_5_2__leaf_clk,527.74
_08421_,526.26
_08366_,525.35
_08315_,524.81
_09303_,522.76
_08336_,522.48
_08405_,522.06
_12776_,521.8
net122,520.86
_06559_,520.11
_03657_,518.86
_12225_,517.5
_08345_,515.68
_03458_,515.42
_12332_,515.17
_09724_,513.59
_10353_,513.43
_09795_,513.125
RAM1.mem\[201\]\[4\],512.84
_03336_,512.38
_09586_,511.21
_02538_,510.66
_06571_,510.64
clknet_5_18__leaf_clk,510.34
_08719_,509.86
_03288_,509.34
_05230_,509.2
_03282_,508.82
_08827_,508.72
_03392_,507.01
_08853_,506.45
net102,505.61
_02837_,504.6
RAM1.mem\[5\]\[6\],504.52
_03277_,502.8
net101,502.63
_03414_,501.99
_03281_,501.86
_09380_,501.06
_12304_,500.64
_05333_,500.04
_08683_,499.66
RAM1.mem\[5\]\[4\],497.82
_03459_,497.02
clknet_5_28__leaf_clk,496.56
clknet_5_26__leaf_clk,495.61
_12338_,495.31
net37,494.94
_09238_,494.58
_03257_,493.54
_08389_,492.285
_03400_,491.35
_02834_,490.78
_03360_,490.4
net133,489.74
_03494_,488.76
_03365_,488.41
_09194_,488.2
_08624_,488.01
_03577_,487.27
_09075_,486.88
_12240_,486.22
_12773_,485.39
_04662_,484.62
_04874_,483.84
_12764_,483.65
net56,482.04
_03427_,481.7
_02532_,481.49
_08863_,480.01
RAM1.mem\[21\]\[4\],479.85
_08357_,479.74
_10789_,478.94
_06562_,477
_03415_,476.49
net70,475.96
clknet_5_16__leaf_clk,474.1
_08285_,474
_08480_,473.08
_04525_,472.76
_05403_,471.86
_08772_,471.68
_12250_,471.6
_02849_,470.28
_12235_,469.87
_12219_,468.66
net43,467.51
_12770_,467.33
_03712_,467.14
_03397_,466.91
net69,466.37
_02743_,466.2
_09426_,464.18
_03446_,463.68
_03310_,463.26
_03332_,462.93
_08317_,462.88
_03653_,462.67
_03399_,462.61
_09235_,462.21
clknet_5_22__leaf_clk,462.05
RAM1.mem\[3\]\[2\],461.52
clknet_5_29__leaf_clk,461.26
clknet_5_24__leaf_clk,461.1
_02332_,460.62
_03743_,460.26
_08631_,459.27
_04594_,459.2
net66,459.18
_08370_,457.13
_05408_,456.29
RAM1.mem\[20\]\[4\],454.33
_08906_,454.1
_04238_,453.04
net75,450.96
RAM1.mem\[3\]\[5\],450.84
RAM1.mem\[3\]\[6\],450.3
_02838_,450
_04382_,448.96
_08316_,448.96
_08417_,448.535
_06831_,448.42
_12759_,448.26
_04170_,448.11
_08483_,447.92
_02535_,447.73
net21,447.08
_08271_,445.96
_03299_,445.48
_03668_,444.415
_05086_,443.64
_06242_,443.31
_03326_,442.59
_08364_,442.46
_06210_,442.13
_11988_,441.43
net49,441.1
_02845_,441.06
_03957_,440.78
_03685_,439.455
_02842_,439.44
_03262_,439.32
_06231_,438.76
_08487_,438.02
_08423_,437.96
_09078_,435.64
_08373_,435.58
_08294_,435.28
_03394_,435.04
_06407_,432.22
_08343_,431.8
_03566_,431.575
_05018_,431.56
_03309_,431.25
_02825_,431.14
_09073_,430.89
_03350_,430.535
clknet_5_21__leaf_clk,430.19
_08304_,429.83
_06424_,428.76
_09569_,428.27
_09064_,428.12
_03489_,427.14
_02326_,427.05
_02518_,426.3
net59,425.67
_06137_,425.44
